path,size_bytes,modified,type
.\.gitignore,13,2025-10-23T23:39:41,unknown
.\README.md,19,2025-10-23T23:39:28,text/markdown
.\.git\COMMIT_EDITMSG,64,2025-10-25T04:46:39,unknown
.\.git\config,307,2025-10-23T23:46:17,unknown
.\.git\description,73,2025-10-23T23:38:36,unknown
.\.git\HEAD,21,2025-10-23T23:42:47,unknown
.\.git\index,515,2025-10-25T04:46:39,unknown
.\.git\hooks\applypatch-msg.sample,478,2025-10-23T23:38:36,unknown
.\.git\hooks\commit-msg.sample,896,2025-10-23T23:38:36,unknown
.\.git\hooks\fsmonitor-watchman.sample,4726,2025-10-23T23:38:36,unknown
.\.git\hooks\post-update.sample,189,2025-10-23T23:38:36,unknown
.\.git\hooks\pre-applypatch.sample,424,2025-10-23T23:38:36,unknown
.\.git\hooks\pre-commit.sample,1649,2025-10-23T23:38:36,unknown
.\.git\hooks\pre-merge-commit.sample,416,2025-10-23T23:38:36,unknown
.\.git\hooks\pre-push.sample,1374,2025-10-23T23:38:36,unknown
.\.git\hooks\pre-rebase.sample,4898,2025-10-23T23:38:36,unknown
.\.git\hooks\pre-receive.sample,544,2025-10-23T23:38:36,unknown
.\.git\hooks\prepare-commit-msg.sample,1492,2025-10-23T23:38:36,unknown
.\.git\hooks\push-to-checkout.sample,2783,2025-10-23T23:38:36,unknown
.\.git\hooks\sendemail-validate.sample,2308,2025-10-23T23:38:36,unknown
.\.git\hooks\update.sample,3650,2025-10-23T23:38:36,unknown
.\.git\info\exclude,240,2025-10-23T23:38:36,unknown
.\.git\logs\HEAD,1024,2025-10-25T04:46:39,unknown
.\.git\logs\refs\heads\main,827,2025-10-25T04:46:39,unknown
.\.git\logs\refs\remotes\origin\main,477,2025-10-25T04:46:55,unknown
.\.git\objects\02\5fa5fe2a6a19dbb8c621f87a1483eff871e614,718,2025-10-24T22:04:09,unknown
.\.git\objects\11\3078ee673c86fffdcea98f1da35987b1574d90,35,2025-10-23T23:39:49,unknown
.\.git\objects\1a\86dd711230ed23e36bd224e8b875f110fe3145,146,2025-10-25T04:46:39,unknown
.\.git\objects\32\54a3ab71ae2e72d7bb8c4b10b71f71e5c508ca,585,2025-10-25T04:46:25,unknown
.\.git\objects\49\5d79e3988557f68a43090014ae9fc1acf72bfd,160,2025-10-23T23:39:59,unknown
.\.git\objects\53\f326fbe9ff416c1e4f51c7507c3661acb67340,88,2025-10-23T23:39:59,unknown
.\.git\objects\5b\fad2b3f8e483b6b173d8aaff19597e84626f15,53,2025-10-25T04:46:39,unknown
.\.git\objects\79\cdb2234b05698b154b1c0fd509dbe1ac58f4b7,206,2025-10-25T04:46:39,unknown
.\.git\objects\8b\137891791fe96927ad78e64b0aad7bded08bdc,16,2025-10-25T04:46:25,unknown
.\.git\objects\96\f5e6b0a63759cab9a5e86e23b2d2857884d41c,202,2025-10-24T22:04:28,unknown
.\.git\objects\a4\03dd5122eee789bd82cd46c4519733dee0e659,87,2025-10-25T04:46:39,unknown
.\.git\objects\ad\553bb08c18ef33c21ec5db4d8d6fe3697800ce,118,2025-10-24T22:04:28,unknown
.\.git\objects\c1\8dd8d83ceed1806b50b0aaa46beb7e335fff13,29,2025-10-23T23:39:49,unknown
.\.git\objects\f7\08d1b25e5e3d64d3a3e0e7d2ae4eb185f643fc,55,2025-10-24T22:04:28,unknown
.\.git\refs\heads\main,41,2025-10-25T04:46:39,unknown
.\.git\refs\remotes\origin\main,41,2025-10-25T04:46:55,unknown
.\core\compare.py,2180,2025-10-25T23:05:30,text/x-python
.\core\scanner.py,1409,2025-10-24T22:03:13,text/x-python
.\core\snapshot.py,1121,2025-10-25T04:20:11,text/x-python
.\core\__pycache__\scanner.cpython-314.pyc,2419,2025-10-25T04:22:08,application/x-python-code
.\core\__pycache__\snapshot.cpython-314.pyc,2010,2025-10-25T04:22:08,application/x-python-code
.\data\.gitkeep,1,2025-10-25T04:46:17,unknown
.\data\snapshot_20251025_042216.csv,2773,2025-10-25T04:22:16,text/csv
.\data\snapshot_20251025_230659.csv,3471,2025-10-25T23:06:59,text/csv
.\data\snapshot_20251025_230722.csv,0,2025-10-25T23:07:22,text/csv
